Year	Entrytype	Title	Author	Link	Code	Task	Reproducible	Dataset	Framework	Architecture	Dropout	Batch	Epochs	Dataaugmentation	Input	Dimension	Activation	Loss	Learningrate	Optimizer	Gpu	
2021	inproceedings	Multimodal metric learning for tag-based music retrieval	Won, Minz and Oramas, Sergio and Nieto, Oriol and Gouyon, Fabien and Serra, Xavier	https://arxiv.org/pdf/2010.16030.pdf	https://github.com/minzwon/tag-based-music-retrieval	music retrieval																
2022	article	Toward Universal Text-to-Music Retrieval	Doh, SeungHeon and Won, Minz and Choi, Keunwoo and Nam, Juhan	https://arxiv.org/abs/2211.14558	https://github.com/SeungHeonDoh/music-text-representation																	
2022	article	Clap: Learning audio concepts from natural language supervision	Elizalde, Benjamin and Deshmukh, Soham and Ismail, Mahmoud Al and Wang, Huaming	https://arxiv.org/abs/2206.04769	https://github.com/microsoft/CLAP																	
2022	inproceedings	Data-Efficient Playlist Captioning With Musical and Linguistic Knowledge	Gabbolini, Giovanni and Hennequin, Romain and Epure, Elena	https://preview.aclanthology.org/emnlp-22-ingestion/2022.emnlp-main.784	https://github.com/deezer/playntell	playlist captioning																
2022	article	RECAP: Retrieval Augmented Music Captioner	He, Zihao and Hao, Weituo and Song, Xuchen	https://arxiv.org/abs/2212.10901v1		music captioning																
2022	inproceedings	Mulan: A joint embedding of music audio and natural language	Huang, Qingqing and Jansen, Aren and Lee, Joonseok and Ganti, Ravi and Li, Judith Yue and Ellis, Daniel PW	https://arxiv.org/abs/2208.12415																		
2022	inproceedings	Learning music audio representations via weak language supervision	Manco, Ilaria and Benetos, Emmanouil and Quinton, Elio and Fazekas, Gy{\"o}rgy	https://arxiv.org/abs/2112.04214	https://github.com/ilaria-manco/mulap																	
2022	inproceedings	Contrastive audio-language learning for music	Manco, Ilaria and Benetos, Emmanouil and Quinton, Elio and Fazekas, Gy{\"o}rgy	https://arxiv.org/abs/2208.12208	https://github.com/ilaria-manco/muscall	music retrieval																
2022	inproceedings	Conversational Music Retrieval with Synthetic Data	Megan Eileen Leszczynski and Ravi Ganti and Shu Zhang and Krisztian Balog and Filip Radlinski and Fernando Pereira and Arun Tejasvi Chaganty	https://research.google/pubs/pub51943/																		
2022	inproceedings	It's Time for Artistic Correspondence in Music and Video	Sur{\'\i}s, D{\'\i}dac and Vondrick, Carl and Russell, Bryan and Salamon, Justin	https://arxiv.org/abs/2206.07148		music-to-video retrieval																
2022	inproceedings	Interpreting Song Lyrics with an Audio-Informed Pre-trained Language Model	Zhang, Yixiao and Jiang, Junyan and Xia, Gus and Dixon, Simon	https://arxiv.org/abs/2208.11671		music retrieval																
